"s001"	"s002"	"s003"	"s005"	"s006"	"s007"	"s008"	"s009"	"s011"	"s012"	"s014"	"s015"	"s017"	"s018"	"s019"	"s020"	"s021"	"s022"	"s023"	"s024"	"s025"	"s027"	"s028"	"s029"	"s030"	"s032"	"s033"	"s034"	"s036"	"s037"	"s040"	"s041"	"s042"	"s044"	"s046"	"s047"	"s049"	"s050"	"s053"	"s054"	"s055"	"s056"	"s072"	"s077"	"s083"	"s085"	"s086"	"s087"	"s088"	"s089"	"s091"	"s093"	"s094"	"s097"	"s098"	"s099"	"s100"	"s103"	"s104"	"s105"	"s106"	"s107"	"s108"	"s109"	"s110"	"s111"	"s112"	"s115"	"s116"	"s119"	"s120"	"s122"	"s123"	"s125"	"s126"	"s128"	"s129"	"s130"	"s132"	"s133"	"s134"	"s135"	"s137"	"s138"	"s140"	"s151"	"s162"	"s166"	"s168"	"s169"	"s170"	"s171"	"s172"	"s173"	"s174"	"s175"	"s176"	"s177"	"s178"	"s179"	"s182"	"s183"	"s184"	"s185"	"s187"	"s188"	"s189"	"s190"	"s192"	"s193"	"s196"	"s197"	"s198"	"s199"	"s201"	"s202"	"s204"	"s205"	"s207"	"s208"	"s209"	"s210"	"s211"	"s214"	"s215"	"s216"	"s218"	"s219"	"s220"	"s221"	"s225"	"s227"	"s228"	"s229"	"s230"	"s231"	"s232"	"s233"	"s234"	"s236"	"s240"	"s241"
"MYb379"	319	1491	280	706	402	140	8774	515	1479	3371	199	505	217	578	207	253	7311	1071	312	263	302	45	496	462	126	158	232	248	61	176	119	1135	3243	114	210	204	260	665	266	187	816	595	846	316	265	372	140	276	335	267	1285	786	308	1034	72	88	670	87	221	44	164	254	201	81	240	63	107	1000	125	302	153	190	64	190	511	5483	124	228	632	9602	91	570	254	325	381	392	78	817	130	342	612	194	663	212	493	1155	571	1598	590	573	516	1679	49	116	575	942	3314	107	477	2741	372	4438	844	11303	971	9864	853	517	656	1187	1259	974	2066	180	2204	2458	200	1615	1154	287	372	964	354	3261	1616	425	196	596	505	684	162	134
"MYb71,MYb49"	169	959	37	292	63	37	1279	123	297	2354	77	157	31	237	37	63	1499	462	60	118	161	12	177	157	29	36	9	66	23	108	48	688	1815	31	31	64	40	295	58	40	379	278	230	85	46	121	41	156	151	66	5172	174	110	1006	15	24	455	31	194	8	22	54	66	28	162	13	42	849	33	69	49	70	31	158	223	1195	16	49	480	1727	27	323	126	173	108	183	15	319	27	89	360	105	674	41	2864	1431	135	2055	253	308	196	478	9	17	347	497	2308	37	173	2912	100	716	489	1423	658	1097	474	304	260	2068	763	718	1334	47	4920	2437	43	4093	291	339	149	3409	239	3342	1519	117	34	368	143	365	34	121
"BIGb0170"	632	360	826	39	39	473	515	785	633	893	631	648	798	30	34	274	484	77	418	732	795	267	821	602	816	35	86	618	442	396	318	350	643	615	0	19	26	0	0	0	1136	63	1285	669	478	850	483	529	538	556	770	1365	784	221	196	362	918	256	329	199	329	479	616	145	250	184	494	448	224	189	647	248	311	680	0	20	271	0	25	0	0	15	27	49	260	670	316	830	215	682	1247	388	532	436	245	922	747	729	1344	176	1329	880	208	342	661	739	821	200	787	1484	1239	464	1364	365	775	1276	1119	1196	1212	1013	1049	1100	1282	210	367	1131	900	386	1752	814	1021	0	0	37	28	21	0	0	0	2223	199	313
"MYb396,MYb69,MYb21"	464	2871	864	179	132	312	963	564	579	2416	1132	472	198	172	81	231	521	364	265	352	416	578	298	553	269	78	47	278	188	873	451	1034	1641	493	107	338	467	789	1092	947	1090	705	1029	767	472	393	207	723	324	532	955	553	447	1026	410	750	538	408	342	138	68	145	374	255	1707	399	1023	1031	234	537	718	700	511	1192	592	1066	103	187	955	302	821	2646	628	455	199	372	479	1468	398	237	663	1004	605	139	618	1155	650	1439	780	10353	873	266	256	311	3103	976	1804	432	596	1962	347	1006	1614	360	3323	548	1652	1277	488	4710	3372	2225	2289	832	1527	1597	2002	1003	1747	3416	2231	460	1261	1662	1429	734	983	1022	452	1213	1202	884
"MYb58"	115	747	75	109	19	35	1695	87	346	1178	63	141	34	84	15	59	2732	140	63	75	110	0	128	80	22	9	0	51	23	36	24	480	1467	19	11	49	56	188	49	36	251	164	179	47	70	114	51	91	129	68	2734	169	77	545	13	21	293	12	94	10	23	53	74	16	75	17	21	556	27	65	36	39	16	93	175	1114	19	44	169	2419	20	218	84	118	79	130	13	217	20	73	211	46	387	25	1974	944	117	1516	173	347	110	454	0	22	243	323	1530	28	121	2679	91	908	304	2017	442	1965	427	210	176	1557	776	386	1104	35	1757	2392	51	1815	276	160	126	2284	142	2670	1113	92	45	280	107	173	40	36
"JUb19"	520	391	70	62	11	62	527	131	87	1481	33	516	28	57	7	58	562	113	71	65	209	9	236	513	26	0	7	45	19	286	25	170	833	134	11	72	33	398	48	56	402	254	210	181	61	50	49	371	292	81	447	557	285	274	10	26	518	115	173	12	24	49	147	12	499	9	39	932	53	40	52	27	10	861	380	586	17	40	287	264	0	232	407	1011	80	350	73	1127	22	38	281	96	203	58	221	1336	861	473	779	243	253	92	12	11	1097	1631	946	8	498	719	49	485	1694	196	192	262	3435	1760	70	343	211	3102	401	38	760	1229	96	435	517	247	765	170	818	585	716	96	51	444	157	1287	24	39
"MYb186"	255	129	420	243	588	302	26	397	112	321	364	175	149	255	314	153	55	468	220	225	162	181	196	146	141	284	251	98	81	519	234	196	160	265	267	515	176	167	463	340	358	534	737	464	346	244	266	113	546	271	219	217	233	67	290	275	153	181	153	213	187	324	97	329	75	220	310	177	225	565	212	540	341	184	160	80	288	141	148	96	361	176	212	317	218	195	284	228	305	108	356	238	252	228	1351	582	233	144	207	61	214	188	380	214	176	224	390	230	153	290	432	104	237	0	1362	207	208	172	847	1055	1718	369	324	422	189	281	416	292	354	337	120	445	197	338	213	296	511	200	300	274	359	386
"CEent1"	244	90	126	92	302	120	32	164	62	345	170	95	55	102	144	70	68	119	94	97	186	86	102	57	63	168	173	72	53	446	101	210	191	148	186	248	121	107	292	157	219	279	451	352	191	150	128	84	259	140	2506	126	160	1345	124	207	245	86	107	114	97	233	42	237	46	114	250	157	71	334	90	532	249	66	93	64	115	159	177	54	363	181	185	281	91	98	192	115	199	60	193	128	168	122	3200	565	198	2548	127	72	150	104	266	140	117	163	827	153	76	479	107	42	198	11	1114	136	108	197	290	636	597	649	239	227	929	881	370	2836	304	303	52	3166	101	737	394	226	367	150	194	144	233	209
"MYb388"	4869	1497	4020	1686	2250	4329	8767	7513	11436	2900	3132	5364	3879	1231	1042	4178	2997	2601	4085	3223	2098	1263	4773	4818	3991	880	2443	4352	2737	1711	1711	826	1823	4496	24	107	163	172	107	47	4052	118	9980	4913	4212	7186	4728	4694	8483	4261	316	5036	2491	524	764	1991	4051	2638	2962	1479	2768	4333	1722	1327	1619	1231	2437	2709	3162	2318	2258	2364	1059	5013	98	57	2216	101	62	107	11	0	75	166	4787	6516	2068	4153	1886	5650	4830	2002	3310	2499	222	4687	3575	693	9140	548	7990	3835	2615	2312	5411	7232	2143	1867	5107	3573	3237	2958	1058	1587	573	2360	3768	6931	6762	765	1359	2532	1245	1610	444	2304	2451	220	6745	1151	5573	35	39	61	134	123	56	95	154	10029	2040	2572
"MYb375"	422	80	131	661	704	91	94	237	76	142	105	153	60	673	360	105	60	913	125	71	98	55	90	155	65	393	1000	72	66	211	81	93	124	125	549	281	116	217	199	104	164	236	445	150	100	127	113	203	201	140	719	172	204	0	74	260	379	93	59	53	80	158	90	136	223	61	317	181	90	117	47	273	55	498	236	178	106	205	128	70	79	156	129	279	197	117	93	645	77	69	127	84	421	120	1259	414	202	77	306	194	209	65	75	52	482	345	284	65	153	159	281	577	119	0	723	99	305	265	441	174	366	779	89	135	839	158	124	467	180	129	119	222	569	139	360	294	91	186	189	318	101	121
"MYb541"	432	159	30	620	380	39	197	98	30	202	42	359	27	574	257	73	78	1366	74	49	131	12	162	297	19	215	471	41	18	282	23	156	234	53	375	100	43	263	47	49	249	206	208	236	42	67	43	158	259	47	457	316	377	70	27	28	154	66	78	26	13	29	110	42	650	13	35	418	55	69	49	130	31	170	335	617	29	58	133	156	20	415	625	644	83	209	33	428	19	32	127	63	396	34	225	523	462	168	341	114	100	89	25	0	1189	477	601	22	441	242	120	190	229	125	93	198	304	352	285	115	268	513	90	59	164	324	115	158	339	225	615	149	227	251	162	31	64	398	156	520	42	50
"unknown"	222	93	116	257	110	182	190	149	236	109	109	193	103	194	49	106	98	464	130	86	77	62	101	152	92	39	111	83	93	56	46	34	62	98	60	122	152	172	119	101	188	199	377	109	121	152	123	174	180	190	128	193	138	33	18	58	135	111	83	72	98	106	101	40	77	34	25	123	127	51	71	96	57	187	178	66	66	110	48	91	98	108	156	199	102	169	47	371	58	137	159	64	69	93	35	161	149	41	284	227	101	135	38	57	274	305	68	50	157	116	151	152	188	10	47	183	279	212	225	109	165	270	121	93	77	142	106	91	230	113	174	45	185	113	204	142	88	207	183	102	74	126
"MYb264"	6	3	5	164	55	48	5	32	11	3	35	15	4	111	34	9	0	348	10	2	0	14	0	3	4	25	78	2	8	0	9	0	0	69	0	0	0	0	0	0	1	0	135	5	6	11	16	4	16	29	0	4	0	0	0	0	5	36	12	4	16	3	0	0	5	0	0	7	30	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	15	47	0	5	12	0	3	19	0	0	0	0	0	24	24	9	0	0	9	0	0	0	3	0	0	6	3	3	0	0	14	2	4	0	0	8	0	0	0	0	18	0	15	0	6	0	0	0	0	0	0	0	0	5	0	0
"BIGb0393"	1678	420	122	716	1185	417	897	379	184	1188	194	843	105	741	660	207	266	1020	188	215	173	49	522	770	153	604	2042	229	228	217	113	626	1315	530	1092	269	381	1188	218	174	483	2690	596	185	140	217	145	2058	775	170	3371	567	1164	461	116	98	2235	139	214	110	133	210	442	120	1361	61	146	1169	123	100	61	238	66	2902	1467	1215	191	264	393	459	125	828	1056	1211	155	427	264	3841	96	156	825	78	1024	179	2199	2158	1155	479	2414	1004	439	443	109	49	3241	2671	2180	60	1000	1468	461	2672	372	72	1314	686	2079	2582	1172	650	2255	3369	399	192	4035	1398	199	1755	438	226	1073	827	2514	1165	1164	447	83	593	331	2344	100	93
"MYb11"	85	26	4	777	429	34	91	41	4	31	11	57	8	823	240	46	39	1227	40	27	59	7	39	51	14	274	619	30	10	110	11	24	21	60	392	66	50	110	39	22	69	77	147	63	21	25	21	46	72	22	126	50	87	14	13	16	149	28	31	11	17	11	37	22	23	9	42	63	23	16	14	49	26	43	63	71	15	33	26	22	28	43	34	114	30	38	23	78	6	17	55	27	66	28	50	85	78	48	54	26	55	19	10	5	103	82	181	10	55	65	23	50	86	21	13	42	63	62	74	28	57	61	32	23	68	56	40	15	63	77	37	110	48	52	127	33	21	54	39	98	27	19
"MYb25"	1201	89	3661	119	154	586	198	401	156	547	631	121	114	79	87	60	81	272	278	63	21	255	79	51	138	54	156	19	63	476	725	77	28	489	6	0	0	0	74	91	564	51	1744	1098	1178	39	401	25	1139	630	191	205	283	139	2546	3964	231	555	501	849	261	1112	6	2326	56	1571	3384	261	616	3027	399	3837	3286	44	0	0	755	15	0	0	56	17	52	8	83	189	1032	81	2259	102	256	670	784	252	602	544	353	111	162	35	163	237	3833	1083	265	511	318	4493	105	81	695	32	26	85	490	258	535	356	643	168	415	120	50	5733	422	266	331	29	304	456	127	0	0	0	26	45	313	0	0	129	5517	6497
"OP50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
