"s001" "s002" "s003" "s005" "s006" "s007" "s008" "s009" "s011" "s012" "s014" "s015" "s017" "s018" "s019" "s020" "s021" "s022" "s023" "s024" "s025" "s027" "s028" "s029" "s030" "s032" "s033" "s034" "s036" "s037" "s040" "s041" "s042" "s044" "s046" "s047" "s049" "s050" "s053" "s054" "s055" "s056" "s072" "s077" "s083" "s085" "s086" "s087" "s088" "s089" "s091" "s093" "s094" "s097" "s098" "s099" "s100" "s103" "s104" "s105" "s106" "s107" "s108" "s109" "s110" "s111" "s112" "s115" "s116" "s119" "s120" "s122" "s123" "s125" "s126" "s128" "s129" "s130" "s132" "s133" "s134" "s135" "s137" "s138" "s140" "s151" "s162" "s166" "s168" "s169" "s170" "s171" "s172" "s173" "s174" "s175" "s176" "s177" "s178" "s179" "s182" "s183" "s184" "s185" "s187" "s188" "s189" "s190" "s192" "s193" "s196" "s197" "s198" "s199" "s201" "s202" "s204" "s205" "s207" "s208" "s209" "s210" "s211" "s214" "s215" "s216" "s218" "s219" "s220" "s221" "s225" "s227" "s228" "s229" "s230" "s231" "s232" "s233" "s234" "s236" "s240" "s241"
"ACICU_RS00445" 9136 3402 7268 1901 8283 10001 831 13308 20994 5311 10216 7394 6179 1506 4527 6434 460 2928 6699 5541 3943 3963 5143 6017 8164 4633 8420 5023 4592 4291 4689 2021 2548 11613 6146 10966 4489 6918 9383 6998 8768 9010 19575 6245 8403 9455 7607 3478 8477 9629 1516 8275 4622 3455 6264 4643 6170 6328 5041 3845 5923 7980 3463 4459 2683 4459 6600 4983 6444 6297 4716 8785 5616 3955 7044 3963 6980 6294 4747 2673 7237 5037 8102 7026 6842 6495 6474 7131 6476 8251 7117 5574 4250 5847 566 7790 6016 1834 7376 3118 13893 4482 7804 6436 7329 9700 4273 7120 6227 4859 8832 4548 8051 115 5477 4189 5963 7212 10965 1537 7368 6556 6706 8104 5629 10181 7340 4689 11813 5619 5771 1132 4942 3792 6503 17630 9414 7517 14760 9344 5707 6403
"ACICU_RS00450" 9136 3402 7268 1901 8283 10001 831 13308 20994 5311 10216 7394 6179 1506 4527 6434 460 2928 6699 5541 3943 3963 5143 6017 8164 4633 8420 5023 4592 4291 4689 2021 2548 11613 6146 10966 4489 6918 9383 6998 8768 9010 19575 6245 8403 9455 7607 3478 8477 9629 1516 8275 4622 3455 6264 4643 6170 6328 5041 3845 5923 7980 3463 4459 2683 4459 6600 4983 6444 6297 4716 8785 5616 3955 7044 3963 6980 6294 4747 2673 7237 5037 8102 7026 6842 6495 6474 7131 6476 8251 7117 5574 4250 5847 566 7790 6016 1834 7376 3118 13893 4482 7804 6436 7329 9700 4273 7120 6227 4859 8832 4548 8051 115 5477 4189 5963 7212 10965 1537 7368 6556 6706 8104 5629 10181 7340 4689 11813 5619 5771 1132 4942 3792 6503 17630 9414 7517 14760 9344 5707 6403
"ACICU_RS00455*" 9136 3402 7268 1901 8283 10001 831 13308 20994 5311 10216 7394 6179 1506 4527 6434 460 2928 6699 5541 3943 3963 5143 6017 8164 4633 8420 5023 4592 4291 4689 2021 2548 11613 6146 10966 4489 6918 9383 6998 8768 9010 19575 6245 8403 9455 7607 3478 8477 9629 1516 8275 4622 3455 6264 4643 6170 6328 5041 3845 5923 7980 3463 4459 2683 4459 6600 4983 6444 6297 4716 8785 5616 3955 7044 3963 6980 6294 4747 2673 7237 5037 8102 7026 6842 6495 6474 7131 6476 8251 7117 5574 4250 5847 566 7790 6016 1834 7376 3118 13893 4482 7804 6436 7329 9700 4273 7120 6227 4859 8832 4548 8051 115 5477 4189 5963 7212 10965 1537 7368 6556 6706 8104 5629 10181 7340 4689 11813 5619 5771 1132 4942 3792 6503 17630 9414 7517 14760 9344 5707 6403
"ACRA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACRB" 1991 755 2216 1254 3529 1127 161 1928 537 1842 1903 929 549 1260 1829 616 324 1793 1034 1048 886 939 854 713 588 1709 1561 380 403 3072 1045 1121 1037 1178 1602 2235 799 821 2664 1689 1874 2351 3622 2513 1627 1018 1167 672 2716 1114 3959 1233 1338 1819 1478 1460 1068 766 771 942 940 1779 328 1615 426 1210 1718 1049 877 2285 1072 3138 1712 1051 958 516 1361 815 905 542 1930 1229 1276 1558 939 863 1426 1335 1689 367 1669 1170 1295 1103 13389 4599 1412 3453 1147 457 1071 881 1797 1199 1181 1372 3038 1411 870 2133 1856 594 1298 109 8143 971 1470 1207 3997 8169 7266 2888 1466 2243 2477 2904 2251 4849 2170 1895 627 6156 1151 3001 1425 1704 2482 1229 1373 1339 2075 2014
"ACRD" 499 219 546 335 890 422 58 561 174 666 534 270 204 357 458 223 123 587 314 322 348 267 298 203 204 452 424 170 134 965 335 406 351 413 453 763 297 274 755 497 577 813 1188 816 537 394 394 197 805 411 2725 343 393 1412 414 482 398 267 260 327 284 557 139 566 121 334 560 348 296 899 302 1072 590 250 253 144 403 300 325 150 724 357 397 598 309 293 476 343 504 168 549 366 420 350 4551 1147 431 2692 334 133 364 292 646 354 293 387 1217 383 229 769 539 146 435 11 2476 343 316 369 1137 1691 2315 1018 563 649 1118 1162 786 3128 658 640 172 3611 298 1075 607 522 878 350 494 418 592 595
"ACRE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACRF" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACRS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACT" 244 90 126 92 302 120 32 164 62 345 170 95 55 102 144 70 68 119 94 97 186 86 102 57 63 168 173 72 53 446 101 210 191 148 186 248 121 107 292 157 219 279 451 352 191 150 128 84 259 140 2506 126 160 1345 124 207 245 86 107 114 97 233 42 237 46 114 250 157 71 334 90 532 249 66 93 64 115 159 177 54 363 181 185 281 91 98 192 115 199 60 193 128 168 122 3200 565 198 2548 127 72 150 104 266 140 117 163 827 153 76 479 107 42 198 11 1114 136 108 197 290 636 597 649 239 227 929 881 370 2836 304 303 52 3166 101 737 394 226 367 150 194 144 233 209
"AMPH" 255 129 420 243 588 302 26 397 112 321 364 175 149 255 314 153 55 468 220 225 162 181 196 146 141 284 251 98 81 519 234 196 160 265 267 515 176 167 463 340 358 534 737 464 346 244 266 113 546 271 219 217 233 67 290 275 153 181 153 213 187 324 97 329 75 220 310 191 225 565 212 540 341 184 160 80 288 141 148 96 361 176 212 317 218 195 284 228 305 108 356 238 252 228 1351 582 233 144 207 61 214 188 380 214 176 224 390 230 153 290 432 104 237 0 1362 207 208 172 847 1055 1718 369 324 422 189 281 416 292 354 337 120 445 197 338 213 296 511 200 300 274 359 386
"ANT6" 0 0 0 292 31 16 0 19 0 0 0 0 0 172 0 0 0 405 0 0 0 0 0 0 0 15 79 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 58 0 0 0 12 0 0 9 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"APH3-DPRIME" 520 391 70 62 11 62 527 131 87 1481 33 516 28 57 7 58 562 113 71 65 209 9 236 513 26 0 7 45 19 286 25 170 833 134 11 72 33 398 48 56 402 254 210 181 61 50 49 371 292 81 447 557 285 274 10 26 518 115 173 12 24 49 147 12 499 9 39 932 53 40 52 27 10 861 380 586 17 40 287 264 0 232 407 1011 80 350 73 1127 22 38 281 96 203 58 221 1336 861 473 779 243 253 92 12 11 1097 1631 946 8 498 719 49 485 1694 196 192 262 3435 1760 70 343 211 3102 401 38 760 1229 96 435 517 247 765 170 818 585 716 96 51 444 157 1287 24 39
"APH3-PRIME" 9136 3402 7268 1901 8283 10001 831 13308 20994 5311 10216 7394 6179 1506 4527 6434 460 2928 6699 5541 3943 3963 5143 6017 8164 4633 8420 5023 4592 4291 4689 2021 2548 11613 6146 10966 4489 6918 9383 6998 8768 9010 19575 6245 8403 9455 7607 3478 8477 9629 1516 8275 4622 3455 6264 4643 6170 6328 5041 3845 5923 7980 3463 4459 2683 4459 6600 4983 6444 6297 4716 8785 5616 3955 7044 3963 6980 6294 4747 2673 7237 5037 8102 7026 6842 6495 6474 7131 6476 8251 7117 5574 4250 5847 566 7790 6016 1834 7376 3118 13893 4482 7804 6436 7329 9700 4273 7120 6227 4859 8832 4548 8051 115 5477 4189 5963 7212 10965 1537 7368 6556 6706 8104 5629 10181 7340 4689 11813 5619 5771 1132 4942 3792 6503 17630 9414 7517 14760 9344 5707 6403
"ASMA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BACA" 1883 692 2135 1036 3234 1046 148 1810 517 1644 1865 849 549 1073 1702 574 304 1508 972 1016 854 924 815 666 573 1592 1489 364 387 2846 1009 1055 946 1102 1489 2053 768 766 2542 1567 1713 2277 3342 2281 1542 969 1084 630 2596 1038 3933 1119 1212 1777 1453 1438 1035 698 732 910 912 1726 328 1518 386 1181 1687 990 798 2152 1011 2903 1661 987 905 481 1318 748 863 504 1877 1149 1234 1418 885 799 1366 1252 1633 357 1616 1107 1271 1103 12644 4500 1322 3364 1100 431 1022 855 1743 1159 1109 1306 2800 1383 826 2019 1824 561 1248 109 8034 933 1422 1147 3912 7992 7155 2804 1430 2125 2372 2777 2147 4775 1999 1856 581 5625 1089 2818 1349 1669 2419 1134 1261 1224 1972 1908
"BAER" 1883 692 2135 1036 3234 1046 148 1810 517 1644 1865 849 549 1073 1702 574 304 1508 972 1016 854 924 815 666 573 1592 1489 364 387 2846 1009 1055 946 1102 1489 2053 768 766 2542 1567 1713 2277 3342 2281 1542 969 1084 630 2596 1038 3933 1119 1212 1777 1453 1438 1035 698 732 910 912 1726 328 1518 386 1181 1687 990 798 2152 1011 2903 1661 987 905 481 1318 748 863 504 1877 1149 1234 1418 885 799 1366 1252 1633 357 1616 1107 1271 1103 12644 4500 1322 3364 1100 431 1022 855 1743 1159 1109 1306 2800 1383 826 2019 1824 561 1248 109 8034 933 1422 1147 3912 7992 7155 2804 1430 2125 2372 2777 2147 4775 1999 1856 581 5625 1089 2818 1349 1669 2419 1134 1261 1224 1972 1908
"BAES" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BCR" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BEPE" 603 3197 392 1107 484 212 11748 725 2122 6903 339 803 282 899 259 375 11542 1673 435 456 573 57 801 699 177 203 241 365 107 320 191 2303 6525 164 252 317 356 1148 373 263 1446 1037 1255 448 381 607 232 523 615 401 9191 1129 495 2585 100 133 1418 130 509 62 209 361 341 125 477 93 170 2405 185 436 238 299 111 441 909 7792 159 321 1281 13748 138 1111 464 616 568 705 106 1353 177 504 1183 345 1724 278 5331 3530 823 5169 1016 1228 822 2611 58 155 1165 1762 7152 172 771 8332 563 6062 1637 14743 2071 12926 1754 1031 1092 4812 2798 2078 4504 262 8881 7287 294 7523 1721 786 647 6657 735 9273 4248 634 275 1244 755 1222 236 291
"BLAA" 9136 3402 7268 1901 8283 10001 831 13308 20994 5311 10216 7394 6179 1506 4527 6434 460 2928 6699 5541 3943 3963 5143 6017 8164 4633 8420 5023 4592 4291 4689 2021 2548 11613 6146 10966 4489 6918 9383 6998 8768 9010 19575 6245 8403 9455 7607 3478 8477 9629 1516 8275 4622 3455 6264 4643 6170 6328 5041 3845 5923 7980 3463 4459 2683 4459 6600 4983 6444 6297 4716 8785 5616 3955 7044 3963 6980 6294 4747 2673 7237 5037 8102 7026 6842 6495 6474 7131 6476 8251 7117 5574 4250 5847 566 7790 6016 1834 7376 3118 13893 4482 7804 6436 7329 9700 4273 7120 6227 4859 8832 4548 8051 115 5477 4189 5963 7212 10965 1537 7368 6556 6706 8104 5629 10181 7340 4689 11813 5619 5771 1132 4942 3792 6503 17630 9414 7517 14760 9344 5707 6403
"BLAEC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BUT" 108 63 81 218 295 81 13 118 20 198 38 80 0 187 127 42 20 285 62 32 32 15 39 47 15 117 72 16 16 226 36 66 91 76 113 182 31 55 122 122 161 74 280 232 85 49 83 42 120 76 26 114 126 42 25 22 33 68 39 32 28 53 0 97 40 29 31 59 79 133 61 235 51 64 53 35 43 67 42 38 53 80 42 140 54 64 60 83 56 10 53 63 24 0 745 99 90 89 47 26 49 26 54 40 72 66 238 28 44 114 32 33 50 0 109 38 48 60 85 177 111 84 36 118 105 127 104 74 171 39 46 531 62 183 76 35 63 95 112 115 103 106
"CGA" 1201 89 3661 119 154 586 198 401 156 547 631 121 114 79 87 60 81 272 278 63 21 255 79 51 138 54 156 19 63 476 725 77 28 489 6 0 0 0 74 91 564 51 1744 1098 1178 39 401 25 1139 630 191 205 283 139 2546 3964 231 555 501 849 261 1112 6 2326 56 1571 3384 261 616 3027 399 3837 3286 44 0 0 755 15 0 0 56 17 52 8 83 189 1032 81 2259 102 256 670 784 252 602 544 353 111 162 35 163 237 3833 1083 265 511 318 4493 105 81 695 32 26 85 490 258 535 356 643 168 415 120 50 5733 422 266 331 29 304 456 127 0 0 0 26 45 313 0 0 129 5517 6497
"CGB" 1201 89 3661 119 154 586 198 401 156 547 631 121 114 79 87 60 81 272 278 63 21 255 79 51 138 54 156 19 63 476 725 77 28 489 6 0 0 0 74 91 564 51 1744 1098 1178 39 401 25 1139 630 191 205 283 139 2546 3964 231 555 501 849 261 1112 6 2326 56 1571 3384 261 616 3027 399 3837 3286 44 0 0 755 15 0 0 56 17 52 8 83 189 1032 81 2259 102 256 670 784 252 602 544 353 111 162 35 163 237 3833 1083 265 511 318 4493 105 81 695 32 26 85 490 258 535 356 643 168 415 120 50 5733 422 266 331 29 304 456 127 0 0 0 26 45 313 0 0 129 5517 6497
"CPS" 0 0 0 292 31 16 0 19 0 0 0 0 0 172 0 0 0 405 0 0 0 0 0 0 0 15 79 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 58 0 0 0 12 0 0 9 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CPXAR" 3697 1226 2488 2323 4966 1588 1146 2353 721 3070 2125 1858 662 2383 2642 848 625 3261 1239 1274 1111 1010 1406 1534 747 2449 3881 617 641 3440 1190 1771 2388 1766 2912 2568 1208 2055 3000 2020 2477 5106 4335 2840 1793 1264 1331 2778 3564 1315 7375 1897 2587 2306 1625 1686 3347 932 1005 1066 1086 2006 839 2352 2080 1309 2076 2374 1011 2452 1216 4754 1993 4106 2562 1844 1563 1085 1418 1045 2354 2356 2578 2928 1128 1324 1726 5273 1804 531 2560 1279 2415 1309 15654 7090 2697 3961 3647 1481 1565 1352 1933 1254 4650 4252 5354 1517 2004 3765 2346 3373 1816 428 9676 1757 3725 4058 5362 10278 9772 6383 1973 3858 6599 4521 2691 6621 2848 2335 2072 7024 3760 4282 2707 2174 2836 1981 1762 3989 3037 4962
