"s001" "s002" "s003" "s005" "s006" "s007" "s008" "s009" "s011" "s012" "s014" "s015" "s017" "s018" "s019" "s020" "s021" "s022" "s023" "s024" "s025" "s027" "s028" "s029" "s030" "s032" "s033" "s034" "s036" "s037" "s040" "s041" "s042" "s044" "s046" "s047" "s049" "s050" "s053" "s054" "s055" "s056" "s072" "s077" "s083" "s085" "s086" "s087" "s088" "s089" "s091" "s093" "s094" "s097" "s098" "s099" "s100" "s103" "s104" "s105" "s106" "s107" "s108" "s109" "s110" "s111" "s112" "s115" "s116" "s119" "s120" "s122" "s123" "s125" "s126" "s128" "s129" "s130" "s132" "s133" "s134" "s135" "s137" "s138" "s140" "s151" "s162" "s166" "s168" "s169" "s170" "s171" "s172" "s173" "s174" "s175" "s176" "s177" "s178" "s179" "s182" "s183" "s184" "s185" "s187" "s188" "s189" "s190" "s192" "s193" "s196" "s197" "s198" "s199" "s201" "s202" "s204" "s205" "s207" "s208" "s209" "s210" "s211" "s214" "s215" "s216" "s218" "s219" "s220" "s221" "s225" "s227" "s228" "s229" "s230" "s231" "s232" "s233" "s234" "s236" "s240" "s241"
"1.1.3.38" 17 12 7 9 0 0 9 17 13 19 0 20 0 20 0 5 22 15 9 12 20 3 26 31 0 0 0 0 0 10 0 25 18 0 0 30 0 13 8 11 22 16 44 18 0 38 8 7 20 9 0 41 17 0 0 0 23 0 9 0 0 0 21 8 10 0 0 36 0 16 0 15 0 12 24 31 8 13 52 10 9 21 41 94 15 20 4 22 0 21 30 0 15 0 0 97 36 12 49 0 35 13 0 0 30 86 45 0 25 43 4 0 28 8 0 13 20 33 18 13 0 12 8 0 0 17 8 0 22 20 25 0 0 31 67 26 10 49 23 123 5 5
"3.2.1.8" 5501 1857 4846 1725 2289 4802 9282 8298 12069 3793 3763 6012 4677 1261 1076 4452 3481 2678 4503 3955 2893 1530 5594 5420 4807 915 2529 4970 3179 2107 2029 1176 2466 5111 24 126 189 172 107 47 5188 181 11265 5582 4690 8036 5211 5223 9021 4817 1086 6401 3275 745 960 2353 4969 2894 3291 1678 3097 4812 2338 1472 1869 1415 2931 3157 3386 2507 2905 2612 1370 5693 98 77 2487 101 87 107 11 15 102 215 5047 7186 2384 4983 2101 6332 6077 2390 3842 2935 467 5609 4322 1422 10484 724 9319 4715 2823 2654 6072 7971 2964 2067 5894 5057 4476 3422 2422 1952 1348 3636 4887 8127 7974 1778 2408 3632 2527 1820 811 3435 3351 606 8497 1965 6594 35 39 98 162 144 56 95 154 12252 2239 2885
"5.4.99.11" 32 0 12 263 201 12 12 25 0 10 26 19 8 265 123 13 12 406 12 7 14 6 7 10 10 104 282 15 0 20 0 15 7 10 175 19 10 31 20 10 23 21 51 15 11 9 11 19 23 12 73 14 14 0 11 24 24 11 10 7 6 18 7 22 31 14 34 24 12 13 0 46 0 77 19 26 15 21 0 12 13 20 15 18 22 11 13 76 15 0 12 13 52 17 62 48 14 0 26 32 30 10 13 0 65 55 18 8 13 0 24 114 22 0 38 14 40 23 45 24 30 120 14 17 101 11 21 46 16 29 0 21 69 15 24 15 15 29 24 19 18 10
"AA0" 15009 18962 17364 7576 12155 15971 18068 19293 21203 16484 24403 13141 11719 6722 6364 9405 7938 11287 10101 9764 8837 10554 10288 10913 13443 5919 11215 9971 8726 9920 9430 8226 11066 17793 6478 9401 5126 5569 11107 6709 19147 9603 35031 15461 17586 15383 13659 12162 17661 15443 16034 13399 10150 7893 11729 12774 15603 9186 11116 10534 10697 12811 8512 9306 7791 11275 14958 10196 10073 12673 9691 17850 14354 14831 5020 4401 9390 3785 4923 2545 10357 7263 5047 6647 9279 14181 14717 17992 9541 11566 14664 9775 10426 10398 20330 19208 11252 11091 18310 50332 21074 9949 15080 12297 19048 18014 16468 11331 13591 19417 14888 11680 15544 4338 25516 8668 16921 18297 19565 21630 30622 19571 17513 21269 11999 15997 18805 12328 22216 22644 16016 8345 7264 7517 7562 8031 7860 5662 7067 24322 14923 20696
"AA10" 2220 699 4277 2091 1280 1070 783 1098 417 2694 1198 907 346 2076 724 341 766 3118 663 450 578 531 613 770 368 670 1229 234 216 1730 1085 653 1212 1036 799 842 330 672 877 644 1543 1118 3154 2095 1776 483 847 593 2236 1122 3363 1105 961 1825 2970 4472 1154 937 934 1188 569 1718 292 2912 676 1914 3983 1527 965 3966 753 4946 3886 1155 638 730 1175 355 624 414 780 606 856 1620 472 832 1584 1551 2785 308 1086 1132 1407 660 5374 3027 1645 3276 1278 411 785 621 4491 1448 1655 2529 2481 4884 832 1569 1289 663 2155 292 3158 863 4290 2485 1850 2202 2941 4240 1014 6420 2300 2657 1216 3592 1479 1343 1064 3781 1116 1660 1349 663 1245 794 651 1839 6133 7131
"AA2" 903 664 1191 1549 5774 3599 441 3375 2151 417 3650 1332 2006 1294 3013 1548 136 2474 1613 966 990 1381 687 1153 2767 2856 4404 1779 1756 1292 1410 425 331 4498 4179 3938 1924 1615 2930 1644 2518 1056 7556 1794 2836 2605 2881 907 1022 3059 151 1786 1434 69 1581 834 1708 2000 1477 1836 1596 1777 757 1276 559 1232 1226 921 2106 1758 1206 2680 1213 858 1054 681 1678 1393 1278 614 1817 1232 617 1600 1512 1283 3374 1313 1508 1517 987 1599 212 1941 97 1089 1070 239 1173 354 3741 575 1792 1413 1360 1248 915 1310 1211 1009 1557 1116 1908 56 450 278 438 876 1209 166 960 904 1332 2372 46 415 3394 44 3048 2315 1019 249 1191 585 1136 2461 1112 1564 2539 2042 1540 2008
"AA3" 16022 21961 13295 8145 11792 15260 20619 17996 27088 20862 19538 12500 9802 7401 6594 8987 15517 12710 9199 8610 7868 8232 8047 9995 12201 6516 13462 7089 7014 7620 7493 9599 15736 17143 8949 12222 6007 10638 11428 8757 19022 14003 31161 11874 16141 11858 10595 8996 13056 15185 21793 12804 9305 11068 10407 9855 14273 9169 10035 8733 9888 11342 8411 8035 8159 7123 11739 11659 9559 11952 8617 15547 10002 10610 10634 14931 10105 7247 7781 17483 8746 10543 11376 10394 8634 11359 12307 18067 9888 10452 12480 10055 11025 9465 12159 18148 10416 12669 13195 53033 18896 9933 14196 11939 18750 17403 20562 12384 12233 23857 14926 16780 17573 17035 21548 20292 14688 14405 16926 17440 28854 18290 21947 16777 22716 25684 14071 18826 20787 19244 13755 9508 9940 16498 14038 19709 11463 11153 16680 18004 13975 17148
"AA4" 10765 9699 8715 6498 10035 10613 13927 14781 23742 14894 11768 9181 6702 5960 5610 7176 12697 10068 7539 6448 5194 4642 6499 7702 8649 5627 10582 5745 4925 6040 5397 5587 11009 12401 7676 11865 5416 9287 11043 8447 11742 11087 22353 7906 9332 10604 8140 4971 9821 10658 12290 10436 6109 7159 6845 5698 8503 6987 6030 4096 6243 8543 4400 5536 5830 5011 8082 9071 6952 7438 5818 11350 6510 5953 9092 13653 7305 6912 7326 16955 8552 9572 10140 9111 7761 7873 7141 10560 7095 9070 9241 7044 7141 6353 6856 13493 8179 8699 9705 14859 15822 7508 8180 6913 13128 13262 14155 7802 8249 15667 9915 11944 11779 15619 11196 18016 9936 10236 13115 12674 14114 11571 13737 10703 16295 19681 10043 13405 15926 10357 9698 8549 7285 15164 12654 19111 11041 10443 16225 12817 8081 10507
"AA5" 21480 18831 23364 8091 23997 27999 16379 33693 42755 15899 35891 19158 18622 6484 12599 16447 6611 12474 17237 14664 11954 14789 13994 15451 22963 12210 20926 15497 14106 13060 14356 8247 9323 31861 14922 23014 10445 11501 21490 13666 26870 15371 58211 21108 27321 25638 22975 12723 24639 26507 11905 20121 13218 9364 18521 16612 19054 16392 16397 15533 17466 21348 10988 13551 6861 16055 20560 12193 17765 19230 13840 26183 19729 13688 10370 5934 17159 10821 8956 4657 17796 9315 11149 11974 16695 19945 23127 18859 16476 20088 19310 15117 12201 17124 16293 21671 14570 9866 21268 41955 35533 13098 23687 19216 19245 22589 15381 18785 17881 19183 22725 12536 20068 3299 24258 10060 14642 19139 27746 14096 30094 16744 20763 28628 10773 20751 25680 13173 32047 25314 17227 7783 8535 7973 11466 26479 16474 12276 23063 28064 19423 24534
"AA6" 7031 7294 9286 6138 16066 10629 5895 11846 8731 10535 16915 5857 6154 5619 8452 5079 5735 9150 5904 5016 4549 6895 4472 4934 8104 8068 13232 5829 5517 7687 6915 5161 8080 12982 11121 13430 6856 7154 13969 8146 10019 10695 23616 7882 9234 9187 9151 5961 7366 9502 17246 6877 6351 5054 8987 7395 9385 6229 5664 6220 5768 7419 3399 6310 5254 9113 9939 7086 6389 7664 5239 13035 10648 8144 6061 6751 6103 5287 6358 6905 11938 8522 5057 7299 5345 5259 10855 10730 6364 5684 7493 6185 5227 6587 22790 13350 6405 9551 7790 13418 13096 4702 8213 6153 11831 9230 13297 6144 5737 13471 7869 9085 8717 4084 17068 6534 7436 8220 10843 17934 18192 12368 10545 14729 15841 11916 14913 14115 12367 14538 6683 14173 8496 13310 10455 10585 8442 7254 9613 10465 7750 10670
