substrate,id
agarose,GH2
agarose,2.A.66.1.36
agarose,1.A.23.1.4
agarose,2.A.1.7.1
agarose,1.B.14.6.1
agarose,GH29
agarose,3.A.1.1.21
agarose,GH16
agarose,2.A.1.1.3
agarose,9.B.145.1.2
agarose,1.B.14.6.2
agarose,3.A.1.1.1
agarose,3.A.10.1.10
agarose,GH105
agarose,GH146
agarose,4.C.1.1.7
agarose,PL37
agarose,GH3
agarose,GH63
agarose,GH88
agarose,GH154
agarose,GH13_28
agarose,1.E.43.1.10
agarose,GH51
agarose,CE1
agarose,GH36
agarose,GT9
agarose,2.A.37.4.2
agarose,GH13_44
agarose,8.A.5.1.6
agarose,9.B.104.1.5
agarose,2.A.49.9.2
agarose,1.A.35.3.2
agarose,3.A.1.5.23
agarose,CBM32
agarose,GH43_24
agarose,8.A.46.2.2
agarose,1.B.14.6.3
agarose,GT2
agarose,2.A.58.2.2
agarose,3.A.1.1.36
agarose,GH117
agarose,GH30
agarose,1.A.30.1.4
agarose,1.B.42.1.8
agarose,2.A.1.7.16
agarose,2.A.1.2.14
agarose,8.A.46.1.3
agarose,GH0
agarose,3.A.1.131.1
agarose,4.C.1.1.14
agarose,GH50
agarose,3.A.18.1.1
agarose,2.A.21.3.12
agarose,2.A.1.2.97
agarose,GT4
agarose,2.A.103.1.2
agarose,2.A.1.7.2
agarose,9.B.196.1.2
agarose,2.A.47.4.5
agarose,3.A.1.5.3
agarose,3.A.1.125.5
agarose,GH43
agarose,3.D.10.1.5
agarose,GH43_19
agarose,GH35
agarose,2.A.21.3.8
agarose,9.B.104.1.2
agarose,3.A.1.132.3
agarose,3.A.1.14.13
agarose,GH97
agarose,9.A.25.1.1
agarose,CBM57
agarose,8.A.46.1.5
agarose,2.A.2.3.2
agarose,GT20
agarose,PL8
agarose,2.A.1.7.18
agarose,2.A.66.1.32
agarose,3.A.1.1.10
agarose,GH20
agarose,PL30
agarose,3.A.1.134.4
agarose,3.A.1.12.5
agarose,2.A.16.2.2
agarose,8.A.59.2.1
agarose,GH31
agarose,2.A.66.2.6
agarose,9.B.14.3.1
agarose,2.A.1.3.17
agarose,2.A.50.2.1
agarose,2.A.21.9.2
agarose,GH43_3
agarose,2.A.1.7.10
agarose,8.A.5.1.3
agarose,2.A.1.36.3
agarose,PL15
agarose,3.A.11.1.1
agarose,9.B.124.1.6
agarose,CE6
agarose,AA_kinase
agarose,2.A.19.5.2
agarose,Amidohydro_2
agarose,SusD-like_3
agarose,1.A.30.1.5
agarose,8.A.46.1.1
agarose,3.A.1.1.20
agarose,GH16_3
agarose,Peptidase_S46
agarose,SusD-like_2
agarose,ADH_N
agarose,CBM13
agarose,Sulfatase
agarose,8.A.46.1.6
agarose,8.A.46.1.4
agarose,PL0
agarose,Peptidase_M43
agarose,HTH_AraC
agarose,Bgal_small_N
agarose,Reg_prop+Reg_prop+Y_Y_Y+HisKA+HATPase_c+Response_reg
agarose,GH13
agarose,HAD_2
agarose,Asparaginase
agarose,RRF
agarose,rhaM
agarose,DUF4874
agarose,Acetyltransf_1
agarose,HTH_AraC+HTH_AraC
agarose,GH13_36
agarose,DPPIV_N
agarose,HhH-GPD
agarose,SufBD_N
agarose,DUF4369
agarose,GH30_4
agarose,LicD
agarose,Phosphodiest
agarose,3.A.1.1.34
agarose,SBP_bac_1
agarose,CBM16
agarose,null
agarose,SpoU_sub_bind
agarose,FecR
agarose,GH109
agarose,DUF6449
agarose,DUF5118
agarose,adh_short_C2
agarose,GH5
agarose,Fer4+Fer4
agarose,GH39
agarose,Hydrolase_3
agarose,SusD_RagB
agarose,GH5_46
agarose,GerE
agarose,Inositol_P
agarose,CBM67
agarose,GH43_34
agarose,FtsX
agarose,Glyco_hydro_2_N
agarose,GH130
agarose,Exo_endo_phos
agarose,BD-FAE
agarose,Peptidase_M56
agarose,Polysacc_deac_1
agarose,PRK
agarose,GH136
agarose,UvrB_inter
agarose,RNase_HII
agarose,3.A.3.7.2
agarose,PL8_3
agarose,GH59
agarose,GH110
agarose,2.A.124.1.2
agarose,GH38
agarose,AXE1
agarose,tRNA-synt_1g
agarose,8.A.46.2.1
agarose,Ribonuc_L-PSP
agarose,KduI
agarose,2.A.13.1.3
agarose,GalKase_gal_bdg
agarose,GidB
agarose,SASA
agarose,BNR_2
agarose,bMG3
