cmp,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,id,name,hierarchy,subsystem
substrate vs. host,8645.11873273806,-0.270929001834902,0.105946073003281,-2.55723496071925,0.0105507925303349,0.0364462024128788,|2PHENDEG-PWY|,phenylethylamine degradation I,"|AROMATIC-COMPOUNDS-DEGRADATION|,|Phenolic-Compounds-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AMINE-DEG|,|Phenylethylamine-Degradation|",metabolism
substrate vs. host,2889.03248741143,0.520479437270906,0.0996330868470794,5.22396177556716,1.75134947709205e-07,5.71764093991815e-06,|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|,4-hydroxyphenylacetate degradation,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|",metabolism
substrate vs. host,1065.12235655329,1.41003571207547,0.221256611184098,6.37285233887199,1.85544512262034e-10,6.13696207760218e-08,|AEROBACTINSYN-PWY|,aerobactin biosynthesis,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|SECONDARY-METABOLITE-BIOSYNTHESIS|,|Siderophores-Biosynthesis|",metabolism
substrate vs. host,20485.0076437651,-0.100250017143387,0.0250230179795011,-4.0063119974382,6.1674172108764e-05,0.000597020328843559,|ALANINE-DEG3-PWY|,L-alanine degradation III,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Amino-Acid-Degradation|,|Proteinogenic-Amino-Acids-Degradation|,|ALANINE-DEG|",metabolism
substrate vs. host,20485.0076437651,-0.100250017143387,0.0250230179795011,-4.0063119974382,6.1674172108764e-05,0.000597020328843559,|ALANINE-SYN2-PWY|,L-alanine biosynthesis II,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|ALANINE-SYN|",metabolism
substrate vs. host,7995.74050666011,0.456968510262701,0.0972334413810163,4.69970520195863,2.60537313475931e-06,5.47924142037395e-05,|ALANINE-VALINESYN-PWY|,L-alanine biosynthesis I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|ALANINE-SYN|",metabolism
substrate vs. host,13579.8397276211,0.220937628749675,0.0898908778278098,2.45784259858816,0.0139774420473413,0.0459929664205995,|ANAGLYCOLYSIS-PWY|,glycolysis III (from glucose),"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|GLYCOLYSIS-VARIANTS|",metabolism
substrate vs. host,2993.15004420919,0.903297731418648,0.216743541089149,4.16758777161028,3.07839993411489e-05,0.000371488656932564,|ARG-GLU-PWY|,L-arginine degradation VII (arginase 3 pathway),"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Amino-Acid-Degradation|,|Proteinogenic-Amino-Acids-Degradation|,|ARGININE-DEG|",metabolism
substrate vs. host,20097.9662819911,-0.0956724940430734,0.026206255736297,-3.65075022566319,0.00026147542878747,0.0020731266139578,|ARGININE-SYN4-PWY|,L-ornithine biosynthesis II,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|Other-Amino-Acid-Biosynthesis|,|L-Ornithine-Biosynthesis|",metabolism
substrate vs. host,3374.1599671132,0.773865032830218,0.209571945103708,3.69259841744211,0.000221974394634777,0.00177686234166781,|ARG-PRO-PWY|,L-arginine degradation VI (arginase 2 pathway),"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Amino-Acid-Degradation|,|Proteinogenic-Amino-Acids-Degradation|,|ARGININE-DEG|",metabolism
substrate vs. host,13579.8397276211,0.220937628749675,0.0898908778278098,2.45784259858816,0.0139774420473413,0.0459929664205995,|ASPARAGINE-BIOSYNTHESIS|,L-asparagine biosynthesis I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|ASPARAGINE-SYN|",metabolism
substrate vs. host,2290.36657364816,0.400942655778982,0.0933191170492094,4.29646859568501,1.73540540204296e-05,0.000229321428127106,|ASPSYNII-PWY|,cyanide detoxification I,"|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Detoxification|,|Cyanide-Detoxification|",metabolism
substrate vs. host,18146.3360457617,0.150401399073163,0.0537963727694965,2.79575353003062,0.00517788715983133,0.0203810452035914,|BETSYN-PWY|,glycine betaine biosynthesis I (Gram-negative bacteria),"|Polyamine-Biosynthesis|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Metabolic-Regulators|,|Organic-solutes-Biosynthesis|,|Betaine-Biosynthesis|",metabolism
