"s001" "s002" "s003" "s005" "s006" "s007" "s008" "s009" "s011" "s012" "s014" "s015" "s017" "s018" "s019" "s020" "s021" "s022" "s023" "s024" "s025" "s027" "s028" "s029" "s030" "s032" "s033" "s034" "s036" "s037" "s040" "s041" "s042" "s044" "s046" "s047" "s049" "s050" "s053" "s054" "s055" "s056" "s072" "s077" "s083" "s085" "s086" "s087" "s088" "s089" "s091" "s093" "s094" "s097" "s098" "s099" "s100" "s103" "s104" "s105" "s106" "s107" "s108" "s109" "s110" "s111" "s112" "s115" "s116" "s119" "s120" "s122" "s123" "s125" "s126" "s128" "s129" "s130" "s132" "s133" "s134" "s135" "s137" "s138" "s140" "s151" "s162" "s166" "s168" "s169" "s170" "s171" "s172" "s173" "s174" "s175" "s176" "s177" "s178" "s179" "s182" "s183" "s184" "s185" "s187" "s188" "s189" "s190" "s192" "s193" "s196" "s197" "s198" "s199" "s201" "s202" "s204" "s205" "s207" "s208" "s209" "s210" "s211" "s214" "s215" "s216" "s218" "s219" "s220" "s221" "s225" "s227" "s228" "s229" "s230" "s231" "s232" "s233" "s234" "s236" "s240" "s241"
"cpd00003_cs" 25605 25943 26283 11504 27527 29814 30715 36830 46463 27828 38675 22362 20226 9805 14549 17826 19588 17520 18916 16743 14257 15993 16785 18449 24596 14018 25079 17178 15220 15734 15767 12913 19784 34052 17582 24866 12005 15091 23981 15672 31700 20730 63622 23943 29269 28141 24443 16936 27738 28600 27203 24265 16656 13750 19749 18642 24781 17601 18030 16325 18475 23057 13032 15308 11283 17125 23266 17802 18839 21270 15834 29916 21339 19827 13914 16448 18307 11979 12051 19398 19641 14587 13932 15046 18363 22488 24707 27359 17778 21868 23792 17298 16912 18529 27406 30793 18535 17923 27442 54999 39515 17593 24813 20345 28374 29572 28176 19998 21489 32981 26105 23639 25572 19077 34083 25899 21881 25881 33245 26568 41933 26876 29726 32121 26773 32689 29867 24656 38493 31255 22813 16423 13967 20673 19079 28969 18713 15758 25191 35934 22505 29492
"cpd00003_ferm" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00006_cs" 24947 25565 25457 11353 27449 29332 30136 36027 45815 26918 38040 21673 19424 9680 14492 17552 19082 17230 18486 16006 13451 15726 15959 17810 23780 13966 24959 16560 14778 15326 15449 12563 19131 33425 17582 24847 11979 15091 23981 15672 30538 20667 62292 23253 28785 27285 23952 16394 27172 28031 26422 22867 15866 13524 19553 18280 23854 17341 17698 16122 18142 22574 12409 15159 11023 16941 22772 17333 18603 21065 15187 29660 21028 19132 13914 16428 18036 11979 12026 19398 19641 14572 13905 14997 18090 21764 24387 26510 17557 21182 22535 16906 16351 18088 27161 29724 17760 17187 26027 54815 38174 16711 24602 20000 27688 28700 27345 19798 20657 31469 24860 23164 24200 18674 33308 24606 20749 24642 32026 25549 40884 25760 28421 31911 26403 31528 28961 24270 36720 30431 21764 16423 13967 20636 19051 28948 18713 15758 25191 33594 22302 29177
"cpd00006_ferm" 25990 26149 25566 14579 28552 29515 30967 36340 45947 28635 38161 22620 19491 12860 15205 17738 19781 22464 18681 16149 13850 15768 16396 18693 23843 14648 26784 16678 14833 16050 15517 12913 20227 33741 18689 25092 12105 15871 24115 15799 31270 21212 63017 23756 28915 27438 24084 16979 27811 28210 27497 23801 16620 13882 19603 18350 24687 17586 17992 16175 18212 22666 12716 15243 12200 16972 22888 18764 18764 21190 15314 29880 21095 20206 14697 17709 18101 12110 12491 19840 19689 15262 15006 16895 18283 22369 24534 28203 17604 21274 23025 17092 17026 18227 27675 31785 19186 17897 27258 55222 38611 16920 24649 20016 30099 30974 29108 19838 21675 32599 25058 23895 26244 19033 33606 25138 24669 26922 32464 27473 41420 29482 28998 32031 27421 33298 29233 24884 37663 31010 23203 16885 15068 21600 20094 29108 18852 16654 25547 35676 22395 29285
"cpd00010_cs" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cpd00010_ferm" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00013_cs" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cpd00013_ferm" 14326 18582 12240 6995 9077 11027 28573 14607 18263 20177 13952 11798 8704 6037 4682 7439 18811 10754 7850 7764 7344 6194 9128 9833 9219 4247 8614 7178 5871 7588 5476 8875 15736 11575 3854 3411 2101 4107 3793 2469 16403 7004 25819 12881 13693 11119 9251 11046 16143 11135 24916 11922 8820 9354 6184 8389 14136 6220 8823 7392 8015 9965 7277 5863 5851 4900 8832 10361 7240 9915 7125 10570 6750 13229 4140 10427 6934 1817 3143 15259 2352 3714 3614 4962 7727 12769 9284 17033 6865 8701 12598 7100 11412 7630 25970 20310 9901 14571 17293 41052 14800 10800 10784 9100 15672 17385 20838 8305 12218 24618 12251 16012 12987 18457 22829 20187 16630 16604 17396 20048 27789 19222 17220 10572 20253 21046 10168 19301 18001 13919 12843 14199 5990 14443 8295 3470 3377 3908 3101 21741 10573 11993
"cpd00015_cs" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cpd00015_ferm" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
