"Arginine2_Hcarbonate" "Arginine2_Hcarbonate,Glycine_cleavage" "Arginine2putrescine" "Arginine2putrescine,Arginine2_Hcarbonate" "Arginine2putrescine,TPP_fatty_acids" "EUT_pathway" "Flavoenzyme_AA_peptides_catabolism,Flavoenzyme_lipids_catabolism" "Flavoenzyme_lipids_catabolism" "Flavoenzyme_lipids_catabolism,TPP_fatty_acids" "Formate_dehydrogenase" "Formate_dehydrogenase,Nitrate_reductase" "Fumarate2succinate" "Fumarate2succinate,fatty_acids-unassigned" "GR_AA_metabolism" "Glycine_cleavage" "Molybdopterin_dependent_oxidoreductase" "Molybdopterin_dependent_oxidoreductase,Pyruvate2acetate-formate" "NADH_dehydrogenase_I" "NADH_dehydrogenase_I,Respiratory_glycerol" "Nitrate_reductase" "Nitrate_reductase,Formate_dehydrogenase" "OD_aldehydes_related" "OD_aldehydes_related,OD_eut_pdu_related,OD_lactate_related" "OD_aldehydes_related,PFOR_II_pathway" "OD_eut_pdu_related,OD_lactate_related,OD_aldehydes_related,PFOR_II_pathway" "Putrescine2spermidine" "Pyruvate2acetate-formate" "Pyruvate2acetate-formate,Molybdopterin_dependent_oxidoreductase" "Respiratory_glycerol" "Respiratory_glycerol,NADH_dehydrogenase_I" "Rnf_complex" "TPP_AA_metabolism" "TPP_AA_metabolism,acetate2butyrate" "TPP_fatty_acids" "TPP_fatty_acids,TPP_AA_metabolism" "Threonine2propionate" "acetate2butyrate" "caffeate_respiration" "fatty_acids-unassigned" "histidine2glutamate_hutHGIU_operon" "hydroxybenzoate2phenol" "succinate2propionate"
"BIGb0170" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE
"BIGb0172" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE TRUE FALSE FALSE TRUE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE TRUE FALSE FALSE TRUE FALSE TRUE FALSE FALSE TRUE
"BIGb0393" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE TRUE FALSE FALSE TRUE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE
"CEent1" FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE TRUE FALSE TRUE FALSE TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE TRUE FALSE FALSE FALSE TRUE FALSE TRUE FALSE FALSE TRUE TRUE FALSE FALSE FALSE TRUE FALSE FALSE TRUE TRUE TRUE FALSE
"JUb134" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE TRUE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE
"JUb19" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE TRUE FALSE FALSE TRUE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE
"JUb44" FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE TRUE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE
"JUb66" TRUE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE TRUE FALSE TRUE FALSE FALSE TRUE FALSE FALSE FALSE TRUE FALSE TRUE FALSE FALSE FALSE TRUE TRUE TRUE FALSE TRUE FALSE TRUE FALSE FALSE TRUE TRUE FALSE FALSE
"MSPm1" TRUE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE TRUE FALSE FALSE TRUE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE
"MYb10" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE TRUE FALSE FALSE FALSE
