"s001" "s002" "s003" "s005" "s006" "s007" "s008" "s009" "s011" "s012" "s014" "s015" "s017" "s018" "s019" "s020" "s021" "s022" "s023" "s024" "s025" "s027" "s028" "s029" "s030" "s032" "s033" "s034" "s036" "s037" "s040" "s041" "s042" "s044" "s046" "s047" "s049" "s050" "s053" "s054" "s055" "s056" "s072" "s077" "s083" "s085" "s086" "s087" "s088" "s089" "s091" "s093" "s094" "s097" "s098" "s099" "s100" "s103" "s104" "s105" "s106" "s107" "s108" "s109" "s110" "s111" "s112" "s115" "s116" "s119" "s120" "s122" "s123" "s125" "s126" "s128" "s129" "s130" "s132" "s133" "s134" "s135" "s137" "s138" "s140" "s151" "s162" "s166" "s168" "s169" "s170" "s171" "s172" "s173" "s174" "s175" "s176" "s177" "s178" "s179" "s182" "s183" "s184" "s185" "s187" "s188" "s189" "s190" "s192" "s193" "s196" "s197" "s198" "s199" "s201" "s202" "s204" "s205" "s207" "s208" "s209" "s210" "s211" "s214" "s215" "s216" "s218" "s219" "s220" "s221" "s225" "s227" "s228" "s229" "s230" "s231" "s232" "s233" "s234" "s236" "s240" "s241"
"cpd00001" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00007" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00009" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00013" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00027" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00029" 22525 25253 23911 11679 22830 28321 30382 34551 45798 26335 36568 21355 19571 9914 12194 17058 19625 18365 17752 15545 13485 14986 15749 17684 23843 11804 21805 16600 14578 12938 14596 11408 18383 32485 15128 22284 10808 13614 20997 13822 29866 15948 59599 21570 27508 26913 23139 14557 24643 27330 20156 23188 14669 11811 18120 16870 21908 16837 17270 15266 17386 20984 12457 13499 10406 15810 21167 16803 17898 18880 14781 26425 19573 16360 12000 15794 16699 10805 11090 18757 17542 13044 12557 13878 17233 21675 23041 23138 15948 21368 21649 16139 14784 17249 11011 25615 17162 14624 24780 53719 38187 16403 22866 19061 25797 27373 24382 18494 20471 30351 23672 20394 25793 19255 24163 24661 21907 24084 28028 19475 32552 23442 28335 29654 20278 29988 27544 18153 36613 29555 22433 9659 10742 17304 17149 26669 16181 14617 23612 33982 20304 27362
"cpd00030" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00034" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00036" 21963 25024 23720 8474 21722 28233 29997 34367 45751 26071 36487 20843 19528 6639 11465 16922 19451 13386 17612 15446 13223 14942 15492 17251 23804 11101 20001 16521 14540 12382 14530 11179 18088 32354 13957 22040 10704 13182 20802 13583 29428 15613 59105 21124 27432 26764 23045 14310 24238 27234 19528 22709 14124 11718 18049 16698 21531 16716 17132 15215 17343 20927 12235 12802 9443 15750 20878 16137 17809 18712 14635 24859 19301 15995 11453 14962 16636 10695 10747 18525 17186 12266 11611 12864 17081 21374 22959 22530 15904 21290 21371 16018 14222 17160 10670 24597 16472 14367 24247 53559 37953 16254 22804 19050 24266 26549 23456 18416 19816 29837 23499 20066 25316 18854 23838 24308 21340 23368 27458 17860 31976 22730 28097 28149 20020 29372 27137 17963 35968 29019 21384 9359 10395 16867 16675 26556 15812 13957 23354 32944 19368 24433
"cpd00048" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
