"s001" "s002" "s003" "s005" "s006" "s007" "s008" "s009" "s011" "s012" "s014" "s015" "s017" "s018" "s019" "s020" "s021" "s022" "s023" "s024" "s025" "s027" "s028" "s029" "s030" "s032" "s033" "s034" "s036" "s037" "s040" "s041" "s042" "s044" "s046" "s047" "s049" "s050" "s053" "s054" "s055" "s056" "s072" "s077" "s083" "s085" "s086" "s087" "s088" "s089" "s091" "s093" "s094" "s097" "s098" "s099" "s100" "s103" "s104" "s105" "s106" "s107" "s108" "s109" "s110" "s111" "s112" "s115" "s116" "s119" "s120" "s122" "s123" "s125" "s126" "s128" "s129" "s130" "s132" "s133" "s134" "s135" "s137" "s138" "s140" "s151" "s162" "s166" "s168" "s169" "s170" "s171" "s172" "s173" "s174" "s175" "s176" "s177" "s178" "s179" "s182" "s183" "s184" "s185" "s187" "s188" "s189" "s190" "s192" "s193" "s196" "s197" "s198" "s199" "s201" "s202" "s204" "s205" "s207" "s208" "s209" "s210" "s211" "s214" "s215" "s216" "s218" "s219" "s220" "s221" "s225" "s227" "s228" "s229" "s230" "s231" "s232" "s233" "s234" "s236" "s240" "s241"
"competition" 3580 1395 1640 6514 9150 4236 1809 4200 2445 2030 4056 2849 2222 6328 4978 2017 606 10000 2069 1346 1517 1532 1537 2474 3034 4742 9738 2174 2088 2243 1670 1363 2060 5334 7309 4744 2552 3461 3571 2160 3615 4343 9119 2567 3176 3079 3236 3433 2425 3481 4897 2995 3360 640 1853 1388 4700 2364 1889 2057 1858 2220 1499 2243 3140 1428 2012 2921 2420 2140 1460 4800 1606 4701 3316 2894 2045 1980 2083 1377 2381 2993 2687 3902 2033 2119 3839 6465 1740 1799 2184 1895 2260 2346 3940 4533 3086 1019 4349 1744 4634 1229 2051 1525 6655 5003 4280 1521 2986 3003 2501 4826 2850 507 2850 1387 3309 4325 3414 1178 4187 5834 2010 4221 5314 2420 4137 2496 4315 3185 3219 1586 4705 2247 3053 3304 1660 2983 3332 5485 2690 5156
"ruderal" 3295 1738 3394 2802 9074 4755 1112 5331 2753 3526 5583 2692 2587 2515 4756 2184 980 4428 2657 2037 2033 2325 1712 2304 3370 4473 5978 2190 2170 4414 2453 1625 2092 5803 5679 6033 2725 2766 5512 3256 4612 3571 11199 4243 4445 3597 4022 1905 3906 4198 4531 3425 2914 2120 3044 2298 3243 2849 2385 2762 2548 3555 1211 2798 1439 2422 2952 2814 2987 3934 2281 5595 2884 2694 2315 1717 3009 2168 2376 1372 3685 2592 2217 3935 2462 2420 4824 3717 3163 1896 2866 2802 1674 3121 12962 6828 3217 4064 3003 1052 5005 1518 3547 2583 3545 4099 4616 2701 2513 3704 3426 2168 4825 356 8676 1460 5289 3752 5177 8488 8326 6806 3155 4535 3178 4404 5647 5254 5557 4398 2346 6044 3098 3957 3134 4200 3572 3093 3934 4435 3531 3950
"stress" 9831 18061 10436 3120 3194 9456 24802 12169 17289 14350 12644 9446 8079 2407 1582 6527 13855 5082 6540 6510 6098 5688 7407 7948 8591 1327 3363 6596 5289 4499 4582 6716 10755 9904 347 737 1116 1758 1612 1307 13868 1686 21243 10433 12085 9829 7845 8170 12117 9952 9385 9527 6048 6253 4877 7226 9688 5403 7635 6380 6835 7782 6475 4165 4753 3914 7538 6583 6201 7747 6514 7415 5371 8753 1257 6663 5308 566 1736 10068 979 3354 1149 1049 6323 10998 7830 10858 5311 8137 9754 6508 7918 6202 4620 10368 6611 7950 12904 48788 13313 8632 9022 8058 12066 11304 12291 7120 9938 16482 9721 10916 10280 14959 14642 15624 10025 11485 11712 11767 19494 10061 14679 8697 6827 12084 9361 6844 15805 14300 12181 1570 1726 5175 3403 1439 1559 1801 1211 16973 9379 10441
"unknown" 10828 5985 12106 3912 13011 15149 4255 18801 26246 10037 20163 9634 9411 3092 6970 8827 4960 5793 9449 7947 5978 7868 7227 7728 12431 7024 12291 8115 7484 6584 8540 3959 6286 17825 9533 17505 7662 9488 16342 10709 12833 12715 30298 8979 12529 14356 12345 4913 10931 14198 9616 10997 6505 5164 11606 8634 9668 9230 7883 7015 8900 11369 4890 7454 3677 10624 12106 7800 9498 9316 6912 14991 12758 5599 8839 7105 9680 8776 7547 7627 14452 7549 9556 9564 9235 8819 11731 9303 9119 11624 10435 7878 5932 8940 6495 12117 8081 5827 9541 4176 20706 6985 12032 9608 9849 12602 9622 10006 8256 11888 12208 7576 11541 3662 8663 8225 7596 9442 14571 7212 11422 8789 11783 17160 12518 15949 14380 10720 16785 12246 7500 7934 6730 10812 11601 22621 13163 10292 19586 13042 8533 12056
"genome" 9327 14486 7018 7011 9561 12117 15685 14250 17260 8688 14439 10191 9607 6275 5058 7675 6222 11085 7441 6892 6605 6238 7459 8431 10874 4686 9344 7924 6771 4789 4763 5114 6450 13447 5549 4366 2427 2360 3317 1964 14344 1723 25668 10471 13093 11750 10075 8306 11749 11681 7761 10214 6981 4216 3512 3454 10335 6485 8187 7243 7987 8123 6846 3490 4293 3187 4573 5841 7433 5804 6596 6961 2995 8615 1750 1615 6074 1647 1711 1012 2188 2130 1717 2673 7331 11620 9706 10454 4091 9030 9455 6373 6670 7646 3389 9455 6750 5265 13001 38373 15731 7171 6751 7972 11036 10832 8634 3484 10593 13074 10057 6995 10143 3646 10671 5556 7910 10813 11726 6056 16014 8428 11796 5846 3053 8627 10642 4471 16278 12971 11478 683 1710 1182 1861 2798 1553 2387 3048 17756 4987 7868
"antibiotics" 6478 18245 3582 7080 9282 8317 18744 7619 7799 13264 12276 6211 5476 6625 5042 4015 13599 11104 3816 3867 4731 5389 3341 4929 6642 4723 9132 3761 4108 4233 3477 7264 11756 9598 7026 5286 3440 5051 4954 3373 11967 5786 17329 6452 9437 4860 5479 6272 4407 7978 15018 6020 5840 6596 3177 2056 9111 4294 5796 5892 5300 4008 5620 2565 5829 2327 2936 6507 4623 4421 4720 5725 2333 7299 4448 10432 4052 2315 3822 13713 3274 6437 3699 4815 3140 5808 8220 11851 2675 3516 5745 5355 5497 5249 8907 9446 5038 8985 6549 49920 8385 5314 4383 5856 12165 7898 14790 2064 6945 17085 6869 12535 10927 15460 15444 15037 8142 7413 6289 13973 21349 11752 15203 5366 11856 13314 9826 10087 11579 15135 8748 5726 5966 10099 7111 4372 2852 4849 4399 10195 4337 6226
"siderophore" 15559 6692 17220 9673 22159 19935 4436 23290 28515 11535 24887 12341 11756 8775 11954 10856 2904 14901 11727 9318 7477 9701 8717 10080 15623 11784 22101 10305 9639 9357 10944 5014 6965 23655 16835 22195 10237 12763 19999 12791 16684 17106 40936 12567 16900 17398 15929 8272 14403 18256 14439 13901 10023 6687 16060 14022 14442 12106 10215 9975 11048 14807 6294 11518 6504 13653 17488 10343 12460 14520 8681 22505 17617 10086 11876 8777 12514 10800 9431 6547 16871 10122 12102 13370 11257 10923 16694 15556 13216 13469 12713 10427 8611 11603 11470 16276 11358 7873 13807 5626 25408 8032 18098 12285 16320 17576 13160 16071 11075 12527 15358 11436 14123 1969 12347 7903 10964 13809 18444 7420 15483 14806 12857 25765 17318 16892 18808 14181 21006 15777 10317 9863 11268 10885 13738 26020 15114 12842 22834 18147 15959 20914
"catabolism" 5009 1926 3665 6138 11796 5275 1596 5955 2935 3608 5878 3266 2728 5903 6250 2497 776 8960 2963 2295 2141 2427 2134 2773 3583 5916 10137 2475 2453 4805 2649 2255 2810 6381 8069 6742 3247 3859 6040 3610 5062 6367 12272 4652 4727 3948 4312 3864 4736 4499 8273 3756 4158 2366 3260 2676 5398 3009 2522 2948 2755 3942 1618 3169 2603 2578 3441 3329 3208 4257 2386 6386 3046 5387 3732 2585 3343 2685 2664 1687 3955 3444 3052 4575 2820 2681 5186 7205 3385 2088 3590 2944 3000 3360 17006 8231 3833 4236 5020 2041 5476 1961 3786 2713 6318 5635 6427 2854 3222 4726 4190 5092 3703 229 10668 2035 4316 4920 6846 9170 10877 8048 3292 4959 7559 4869 5984 7161 5849 4574 2813 7475 5517 4887 4042 4895 3776 3552 4451 5958 3829 4241
"growth" 9512 16570 10156 2678 2820 9332 16028 11673 15810 10979 12445 8941 7862 1976 1372 6274 6544 4382 6228 6247 5796 5643 6911 7486 8465 1184 3202 6348 5228 4323 4463 5581 7512 9806 137 533 856 1093 1346 1120 13052 1091 20455 10117 11820 9457 7717 7894 11782 9694 8100 8741 5740 5219 4805 7138 9018 5334 7414 6336 6671 7528 6274 4084 4513 3851 7431 5583 6092 7445 6361 7225 5307 8563 746 1180 5184 338 1104 466 888 2784 895 724 5942 10606 7752 10041 5181 7795 9142 6314 7255 5990 4127 9213 6040 6352 12314 48215 12797 6953 8973 7942 11491 10362 8977 7013 9461 13741 9349 6478 9436 3656 13671 5760 9172 10968 11056 10580 18235 9087 12613 8517 4623 9626 9161 5229 14651 14013 11809 606 1372 1914 1787 1014 1363 1205 706 16289 9217 10307
"rrna" 21322 22921 23250 10551 23360 28016 26171 33844 44524 20904 36114 19968 18813 8937 12415 16753 14337 16636 17346 14762 12276 14854 14529 16378 23092 11948 21698 15909 14140 12637 14399 9924 13834 31902 15306 22682 10826 12826 21316 13972 28057 15726 58298 21094 27262 25991 22791 13496 24051 26831 11214 21100 13638 9863 18168 16614 19704 16570 16607 15256 17159 20709 11567 13095 9251 15803 20692 14034 17785 19113 14161 25448 19356 14696 11264 12812 16684 10849 10128 14417 17586 12169 11896 12761 16928 20458 22933 20816 16009 20549 19813 15756 13136 16855 7767 21206 15424 10009 22305 52686 36443 14652 23044 18909 23418 24162 19160 18431 18861 22765 22637 17933 22036 14951 23373 20178 16562 20564 26996 15682 31304 18524 24471 28435 12859 23057 26682 11810 34004 28109 20086 4675 9782 11109 13812 26607 16338 13587 23561 29888 19589 24474
